State,Operating at start of quarter,Entries,Exits,Net movement of surviving businesses,Operating at end of quarter,Change,Percentage change,Entry rate,Exit rate
New South Wales," 805,437 "," 37,190 "," 24,811 ",-168," 817,648 ","12,211",1.5,4.6,3.1
Victoria," 646,871 "," 30,652 "," 21,607 ",-521," 655,395 ","8,524",1.3,4.7,3.3
Queensland," 453,923 "," 19,934 "," 13,647 ",459," 460,669 ","6,746",1.5,4.4,3.0
South Australia," 147,562 "," 5,816 "," 4,016 ",42," 149,404 ","1,842",1.2,3.9,2.7
Western Australia," 226,924 "," 9,713 "," 6,459 ",42," 230,220 ","3,296",1.5,4.3,2.8
Tasmania," 40,070 "," 1,544 ", 982 ,86," 40,718 ",648,1.6,3.9,2.5
Northern Territory," 14,768 ", 667 , 478 ,-10," 14,947 ",179,1.2,4.5,3.2
Australian Capital Territory," 30,896 "," 1,588 "," 1,038 ",53," 31,499 ",603,2.0,5.1,3.4
Other Territories/Currently Unknown," 1,732 ", 102 , 97 ,17," 1,754 ",22,,,
Australia," 2,368,183 "," 107,206 "," 73,135 ",0," 2,402,254 "," 34,071 ",1.4,4.5,3.0
